api,4301350440,,,,
well_name,Greater Monument Butte 3-2-9-16H,,,,
surface_latitude,40.064567,,,,
surface_longitude,110.089758,,,,
north_ref,t,,,,
surface_elevation,5496,,,,
measured_depth,inclination,azimuth,,,
7096.00,91.63,197.27,,,
7141.00,90.04,195.86,,,
7186.00,87.93,195.07,,,
7232.00,88.81,195.16,,,
7277.00,90.22,195.33,,,
7322.00,90.48,195.16,,,
7368.00,91.71,196.21,,,
7413.00,92.07,196.83,,,
7458.00,91.80,197.71,,,
7504.00,91.45,197.71,,,
7550.00,91.71,197.97,,,
7595.00,91.01,197.09,,,
7640.00,91.01,195.95,,,
7685.00,91.54,197.09,,,
7730.00,92.42,196.91,,,
7776.00,93.21,197.97,,,
7821.00,93.12,199.73,,,
7866.00,92.59,199.99,,,
7912.00,93.39,199.82,,,
7957.00,93.56,199.73,,,
8002.00,92.15,200.34,,,
8048.00,92.95,200.52,,,
8093.00,92.24,200.69,,,
8139.00,90.13,200.43,,,
8184.00,90.57,200.69,,,
8229.00,91.36,201.13,,,
8275.00,91.80,201.31,,,
8320.00,93.12,201.66,,,
8365.00,93.56,202.10,,,
8411.00,93.74,202.28,,,
8456.00,92.68,202.28,,,
8501.00,92.15,202.19,,,
8547.00,92.33,202.45,,,
8592.00,93.12,202.54,,,
8637.00,92.07,201.40,,,
8683.00,92.24,202.19,,,
8728.00,91.01,201.49,,,
8773.00,92.59,201.66,,,
8819.00,91.80,201.75,,,
8864.00,91.10,202.54,,,
8909.00,91.45,202.54,,,
8954.00,91.54,201.75,,,
9000.00,92.59,202.10,,,
9045.00,92.51,201.05,,,
9091.00,92.59,200.61,,,
9136.00,91.98,200.61,,,
9181.00,91.63,200.78,,,
9227.00,91.36,200.78,,,
9272.00,91.89,200.61,,,
9317.00,89.52,199.38,,,
9363.00,89.52,199.99,,,
9408.00,89.87,199.96,,,
9453.00,90.48,199.46,,,
9499.00,90.48,199.38,,,
9544.00,91.89,199.46,,,
9589.00,91.80,199.46,,,
9635.00,91.98,199.46,,,
9680.00,92.15,199.20,,,
9725.00,92.15,198.76,,,
9771.00,92.24,198.85,,,
9816.00,91.98,197.97,,,
9861.00,91.63,197.27,,,
9907.00,92.59,195.68,,,
9952.00,93.03,196.48,,,
9997.00,92.86,196.83,,,
10043.00,92.86,196.91,,,
10133.00,92.95,194.00,,,
10300.00,94.00,196.48,,,
